id,name,region,lang,currency,archetype,tier,topic,products,price_min,price_max,providers,referral_percent,port,path
ru-001-invest-start,ИнвестСтарт,ru,ru,RUB,course,standard,инвестиции,3,1480.0,8930.0,yookassa|sbp|cryptobot|manual,25,9000,bots/ru/001-invest-start
ru-002-dividend-club,Дивидендный клуб,ru,ru,RUB,club,premium,дивидендные акции,3,4890.0,39190.0,yookassa|sbp|cryptobot|manual,20,9001,bots/ru/002-dividend-club
ru-003-bond-lab,Облигации Лаб,ru,ru,RUB,course,standard,облигации,3,1480.0,8930.0,yookassa|sbp|cryptobot|manual,25,9002,bots/ru/003-bond-lab
ru-004-trader-signals,Трейдер Сигналы,ru,ru,RUB,signals,premium,трейдинг,3,2190.0,17140.0,yookassa|sbp|cryptobot|manual,20,9003,bots/ru/004-trader-signals
ru-005-finplan-pro,ФинПлан Про,ru,ru,RUB,consult,premium,финансовое планирование,3,4890.0,36740.0,yookassa|sbp|cryptobot|manual,10,9004,bots/ru/005-finplan-pro
ru-006-debt-free,Долги Стоп,ru,ru,RUB,course,budget,закрытие долгов,3,480.0,2930.0,yookassa|sbp|cryptobot|stars|manual,25,9005,bots/ru/006-debt-free
ru-007-budget-family,Семейный Бюджет,ru,ru,RUB,saas,budget,семейный бюджет,3,380.0,2440.0,yookassa|sbp|cryptobot|stars|manual,20,9006,bots/ru/007-budget-family
ru-008-pension-plan,Пенсия Сам,ru,ru,RUB,course,standard,пенсионные накопления,3,1480.0,8930.0,yookassa|sbp|cryptobot|manual,25,9007,bots/ru/008-pension-plan
ru-009-tax-refund,Налог Возврат,ru,ru,RUB,service,standard,налоговые вычеты,3,1480.0,7440.0,yookassa|sbp|cryptobot|manual,10,9008,bots/ru/009-tax-refund
ru-010-credit-score,Кредитный Рейтинг,ru,ru,RUB,service,standard,кредитная история,3,1480.0,7440.0,yookassa|sbp|cryptobot|manual,10,9009,bots/ru/010-credit-score
ru-011-ipo-radar,IPO Радар,ru,ru,RUB,signals,premium,IPO,3,2190.0,17140.0,yookassa|sbp|cryptobot|manual,20,9010,bots/ru/011-ipo-radar
ru-012-etf-portfolio,ETF Портфель,ru,ru,RUB,course,standard,ETF,3,1480.0,8930.0,yookassa|sbp|cryptobot|manual,25,9011,bots/ru/012-etf-portfolio
ru-013-forex-academy,Форекс Академия,ru,ru,RUB,course,premium,форекс,3,4890.0,29390.0,yookassa|sbp|cryptobot|manual,25,9012,bots/ru/013-forex-academy
ru-014-options-desk,Опционный Стол,ru,ru,RUB,club,elite,опционы,3,14890.0,119190.0,yookassa|sbp|cryptobot|manual,20,9013,bots/ru/014-options-desk
ru-015-bank-deals,Банк Выгода,ru,ru,RUB,signals,budget,банковские продукты,3,210.0,1710.0,yookassa|sbp|cryptobot|stars|manual,20,9014,bots/ru/015-bank-deals
ru-016-realty-invest,Недвижка Инвест,ru,ru,RUB,course,premium,инвестиции в недвижимость,3,4890.0,29390.0,yookassa|sbp|cryptobot|manual,25,9015,bots/ru/016-realty-invest
ru-017-passive-income,Пассивный Доход,ru,ru,RUB,club,standard,пассивный доход,3,1480.0,11910.0,yookassa|sbp|cryptobot|manual,20,9016,bots/ru/017-passive-income
ru-018-insurance-check,Страховка Чек,ru,ru,RUB,consult,standard,страхование,3,1480.0,11170.0,yookassa|sbp|cryptobot|manual,10,9017,bots/ru/018-insurance-check
